ID,Tags,Created At,Text
1389730548747231233,,Tue May 04 23:55:57 +0000 2021,Exaggerated. We are working very had. Allah karam farmaye. Covid graph in Islamabad shows decline already. In sha Allah ppl will cooperate on Eid https://t.co/oqWCwzs5kW https://t.co/xZBacVONSI
1389730098107068417,,Tue May 04 23:54:09 +0000 2021,Australian former great Michael Hussey tested positive of COVID-19
1389728497065672713,,Tue May 04 23:47:48 +0000 2021,"Two of my family members in my house have tested positive for Covid. Pretty sure the chances of me getting Covid is high and I could be bringing it to a hall where there are 200+ students. 
#WaqarZakaPM #AntiStudentPTI"
1389727162371121165,,Tue May 04 23:42:30 +0000 2021,"@MaleehaHashmey Maleeha plz inform us about DANGUE. 
Is it a new virus? Or something caused by PMLN?"
1389725294219735046,,Tue May 04 23:35:04 +0000 2021,"Two of my family members in my house have tested positive for Covid. Pretty sure the chances of me getting Covid is high and I could be bringing it to a hall where there are 200+ students. 
#WaqarZakaPM #AntiStudentPTI"
1389725002279399429,,Tue May 04 23:33:55 +0000 2021,"Two of my family members in my house have tested positive for Covid. Pretty sure the chances of me getting Covid is high and I could be bringing it to a hall where there are 200+ students. 
#WaqarZakaPM #AntiStudentPTI"
1389724879738507264,WaqarZakaPM AntiStudentPTI,Tue May 04 23:33:25 +0000 2021,"Two of my family members in my house have tested positive for Covid. Pretty sure the chances of me getting Covid is high and I could be bringing it to a hall where there are 200+ students. 
#WaqarZakaPM #AntiStudentPTI"
1389722459495178241,,Tue May 04 23:23:48 +0000 2021,"Indian Prime Minister Called Out for Building New, Billion-Dollar Residence Despite Deadly COVID Shortages https://t.co/Bt40NX7qvG via @thedailybeast"
1389721531262115847,COVID19,Tue May 04 23:20:07 +0000 2021,"For those receiving the Sinopharm vaccine against #COVID19, a very helpful explainer for how the vaccine works 

https://t.co/VusRokwA0Y"
1389720600139153412,,Tue May 04 23:16:25 +0000 2021,Current policy of land border management with Iran and Afghanistan has been reviewed by NCOC to ensure effective management of COVID Protocols. https://t.co/oE7PXqD0Es
1389719650934591488,,Tue May 04 23:12:39 +0000 2021,"There are total of 292,000 registered voters in the provincial assembly constituency.The election commission has set up 229 police stations and issued SOPs to prevent the spread of Covid-19 during the by-polls.
#خوشاب_عمران_خان_کا
@LaraibNaz2 
@TeamPak_Alpha https://t.co/CCmEiWaxu2"
1389719308943646720,,Tue May 04 23:11:17 +0000 2021,"DWM-Pakistan Representatives met SAPM Health Dr.Faisal Sultan on Thursday and said thanks for Vaccination and did demand to extend date atleast one month more for doctors and medical students. Date has been extended till 31May, Get register for vaccination
https://t.co/lzixYy0ffi"
1389715329358643201,,Tue May 04 22:55:28 +0000 2021,@U_HRao1 Covid sleeps in these @DRSHAHs @Asad_Umar
1389714140810391553,Covid19 Jammu Kashmir Srinagar,Tue May 04 22:50:45 +0000 2021,"With the #Covid19 situation turning grimmer by the day in #Jammu and #Kashmir, the administration has declared #Srinagar district as a ‘#redzone,’ along with two other places. #LetTheKashmirisBreath

https://t.co/RfBAOErH7W https://t.co/xhVewSkChu"
1389713199008784386,,Tue May 04 22:47:00 +0000 2021,"@ashishkjha While Palestinians are left waiting, Israel leads world in COVID vaccinations"
1389712307421433857,,Tue May 04 22:43:28 +0000 2021,@_tweeterohlic_ I feel for you and i know in what difficult situation docs/nurses have to go through in covid wards!! i lost my dad due to covid and i know the financial expense it is on a common person! Medical personnel should be given covid benefits atleast!
1389712143143026693,Covid_19,Tue May 04 22:42:49 +0000 2021,"Our April edition of E-Newsletter is out! Download to see what SDPI has done for #Covid_19 &amp; other topics! 

Happy reading 📖
https://t.co/zk4NnUF8UD
#Newsletter #April2021 https://t.co/uKoVB7z9hH"
1389712090974281729,,Tue May 04 22:42:36 +0000 2021,@arabnews All economical and other activities are going on but Covid is moving around Islamic thought prayers and inside mosque... Sooner or later Al-Saud will have to Answer Infront of Allah.
1389711884069265409,,Tue May 04 22:41:47 +0000 2021,"POWER HOUSE HAS SHUT DUE TO OVERLOAD DUE TO LACK OF EXECUTION PLAN RESULTING IN SHORT CIRCUITING
Bangladesh extends lockdown to keep India's COVID variant away | DW News https://t.co/60fFBNAN9q via @YouTube"
1389711370699030534,,Tue May 04 22:39:45 +0000 2021,"Once again, the most crucial and meaningful support for Pakistan comes from China.

Glad to see @fslsltn acknowledge it.  

https://t.co/2NrbW27rZj"
1389710915407388677,,Tue May 04 22:37:56 +0000 2021,"‘Stay Home, Stay Safe!’ Strict Mobility Control Measures will be enforced from 8-16 May to control the spread of disease. 
According to media reports, India ignored COVID-19 warnings and now struggling to contain the disease!!

https://t.co/l9tWtHRRfu"
1389710751078682626,,Tue May 04 22:37:17 +0000 2021,Exaggerated. We are working very had. Allah karam farmaye. Covid graph in Islamabad shows decline already. In sha Allah ppl will cooperate on Eid https://t.co/oqWCwzs5kW https://t.co/xZBacVONSI
1389710307669553154,,Tue May 04 22:35:31 +0000 2021,"@ashishkjha While Palestinians are left waiting, Israel leads world in COVID vaccinations"
1389709461745328129,FollowSOPs,Tue May 04 22:32:09 +0000 2021,"Pakistan is Prepared for Covid Wave BUT Follow the SOPs to Defeat it.
#FollowSOPs

@OfficialNcoc @nhsrcofficial https://t.co/0nYQ99wl4a"
1389708922769006594,FollowSOPs,Tue May 04 22:30:01 +0000 2021,"Pakistan is Prepared for Covid Wave BUT Follow the SOPs to Defeat it.
#FollowSOPs

@OfficialNcoc @nhsrcofficial https://t.co/0nYQ99wl4a"
1389700582663938054,,Tue May 04 21:56:52 +0000 2021,"Pakistan to locally produce China's CanSino COVID-19 vaccine. 
“.. out of 100 million people eligible for vaccination in the country, the government aimed to vaccinate 70 million by the end of 2021, adding that currently..”. 

Note 105mn below 25 yrs age  https://t.co/RCt9Vl3Id3"
1389698796192374784,FollowSOPs,Tue May 04 21:49:47 +0000 2021,"Pakistan is Prepared for Covid Wave BUT Follow the SOPs to Defeat it.
#FollowSOPs

@OfficialNcoc @nhsrcofficial https://t.co/0nYQ99wl4a"
1389698738646622211,,Tue May 04 21:49:33 +0000 2021,"Its been a month into final year and still No feels. 😔
The lockdown has made us less motivated. This year was supposed to be exciting. Dopamine chaye"
1389697933373808645,MiRzUu,Tue May 04 21:46:21 +0000 2021,"Overthinking is a bigger killer than covid.

#MiRzUu🔥"
1389697171579195400,,Tue May 04 21:43:19 +0000 2021,Those nurses and doctors working day in and day out in covid wards during this pandemic situation should get bonuses or some increments!! They are putting their lives at risk!
1389696198773202944,IPL iplcancel indiacovid,Tue May 04 21:39:27 +0000 2021,@mhussey393 tested positive for Covid 19. #IPL #iplcancel #indiacovid
1389695589634371585,,Tue May 04 21:37:02 +0000 2021,@U_HRao1 Agreed. This happened last year too. Covid only comes for Sunni Muslims and in Ramzan. But no main stream media showed this. If these processions were taken out by Sunni. Whole media would have shouted. Only army showed processions of sukkur.
1389694868918726662,,Tue May 04 21:34:10 +0000 2021,"The country's supreme electoral body has advised the candidates and the political parties contesting the by poll to ensure strict adherence to the Covid-19 SOPs
@LaraibNaz2
@TeamPak_Alpha
#خوشاب_عمران_خان_کا https://t.co/NpAn4hQdrX"
1389694524570677252,,Tue May 04 21:32:48 +0000 2021,Mr. Asad Umer your’s recent tweet regarding one of the visits of CNN official to Indian hospital pertaining warning to the Nation could you please justify this also by telling us who allowed this or COVID is indifferent to this gathering. Waiting your kind reply please ? https://t.co/CPxda230Ve
