ID,Tags,Created At,Text
1432103246303268871,,Sun Aug 29 22:09:55 +0000 2021,"@s4saad @MAbdullahGul ppl from Uk, Us and many other western countries r reaching PK everyday frm Afghanistan without follow any protocols, on othr side they hav blocked pakistanis even after covid vaccines , what a shameless hypocrite they r!"
1432095131935592452,,Sun Aug 29 21:37:41 +0000 2021,"@identltycrisis Tough times ahead ~ with man-made covid, grounds for WW III have been laid and the writing is in the sky"
1432089288452321282,,Sun Aug 29 21:14:27 +0000 2021,Not my bois chastising me for not going Hunza wagjera sure bc two mahinay baad yaad aya bari jldi jub hype is ded covid is rampant aur broke af aur baten krwalo 🤡🙃
1432082833380675587,,Sun Aug 29 20:48:48 +0000 2021,Hmm is my chest pain cause of covid or cause I'm having one of my top 3 worst weeks of 2021. Stay tuned to find out
1432080974276349952,,Sun Aug 29 20:41:25 +0000 2021,"@tariqmsidd 1. You don't have authority to issue any fatwa
2. Where was covid during muharam? 
3. People sitting beside him have no role in karachi administration."
1432079301520904197,,Sun Aug 29 20:34:46 +0000 2021,"@EngrUmairHusain @MiftahIsmail I don't consider FBR's performance good enough to be celebrated, however miftah being a politician is exaggerating the situation while ignoring the negative effect of import compression due ti BOP crisis &amp; the COVID pandemic."
1432078014750330894,,Sun Aug 29 20:29:40 +0000 2021,@geonews_english Go through last paragraph of UK health department letter to Pakistan regarding removal from travel red list. It categorically says that punjab has much higher covid cases but low testing hides actual numbers
1432077309167771649,TechnologyTimes,Sun Aug 29 20:26:51 +0000 2021,One in Fifty Patients will Face Severe Illness from Covid-19 Delta Variant #TechnologyTimes - https://t.co/SAIy3peYBr https://t.co/mcRnNbjoQ4
1432067900249157640,,Sun Aug 29 19:49:28 +0000 2021,@DCKurram @IMMahmoodKhan @CMPakhtunkhwa @GovernmentKP @PMRUKP @KurramRadio I have recently visited one of merged district. People very careless about Covid and no one is following SOP. Hope after incident people will alert
1432050031146815488,,Sun Aug 29 18:38:28 +0000 2021,@yamin_f A friend's mother passed away due to COVID-19. I adored her a lot as a person.
1432048943089717254,,Sun Aug 29 18:34:08 +0000 2021,"@chillimilli46 Confirm covid...
Get well soon"
1432034048428236801,,Sun Aug 29 17:34:57 +0000 2021,Got vaccinated against COVID-19.
1432020161133940741,,Sun Aug 29 16:39:46 +0000 2021,"AC Secretariat @aneelsaeed conducted price checking and inspected implementation status of COVID-19 SOPs with respect to the safe day 11 Shops sealed,05 people arrested for violating NCOC’s recent directions... https://t.co/sUvGpCSRKK"
1432019910029451265,,Sun Aug 29 16:38:46 +0000 2021,"Doctors warn against long hotel stays for Afghan refugees arriving in Britain. 
Also true for Pakistan.
Has the PK Gov thought of this danger of Covid spread become worse"
1432016496289619970,,Sun Aug 29 16:25:12 +0000 2021,@shen_shiwei Is it really Covid free or no body is moving in amd out of the country that's why it is Covid-Zero country on earth
1432016102717001730,,Sun Aug 29 16:23:39 +0000 2021,"Personal News.

My husband, mother-in-law - both vaccinated - and youngest daughter have tested positive for Covid19. So far 🤲🏼 it has been manageable. 

Our family had avoided catching the virus for a year and a half, but it’s a pesky and persistent bug isn’t it?"
1432015420387729412,Islamabad,Sun Aug 29 16:20:56 +0000 2021,"Dirction of @hamzashafqaat and AC  Secretariat @aneelsaeed Magistrate @MALIK_MUA Carried out inspection in Barakahu simly dam road,Shahpur &amp; Main Murree Road For Compliance of Covid Sop's Violaters were Fined and warned as per law.Also sealed one shop
#Islamabad
@dcislamabad https://t.co/F8OuKXxxI9"
1432002361875210247,,Sun Aug 29 15:29:03 +0000 2021,@imiahmadriaz No one can defend this but it is an international issue due to covid. But still govt should find a way to reduce inflation
1432000462979575814,,Sun Aug 29 15:21:30 +0000 2021,@saqib__sutybaz Thank you 😊❣️ corona virus 🤩
1431994526411939847,,Sun Aug 29 14:57:54 +0000 2021,"@dr_sarakhan12 absolutely yes 😀😀
Now follow back 🙈"
1431991495725355008,,Sun Aug 29 14:45:52 +0000 2021,@aishha17_ Well i don't know tbh. Not sure if it's covid or something else
1431990225551732736,Howdy Robertscoffee,Sun Aug 29 14:40:49 +0000 2021,"Violations of Covid SOPs issued by @dcislamabad ..
#Howdy &amp; #Robertscoffee F6 Goal mkt allowing outdoor dining despite ban by @hamzashafqaat on weekend.
Pics proof not taken as families r sitting &amp; enjoying weekends  
@aneelsaeed @ranamusatahir
@isma_shaukat @ia_rajpoot"
1431982587187273734,youngdoctors ProtestagainstNLE NLE ChemicalSprayOnDoctors,Sun Aug 29 14:10:28 +0000 2021,"I strongly condemn the attack on young doctors , one must keep in mind, doctors are leading the most difficult battle against the deadliest virus, moreover, our young doctors are the backbone of our health system.#youngdoctors #ProtestagainstNLE #NLE
#ChemicalSprayOnDoctors"
1431968257662201860,,Sun Aug 29 13:13:31 +0000 2021,"AC Secretariat conducted price checking and inspected implementation status of COVID-19 SOPs with respect to the safe days 11 Shops sealed, 05 people arrested for violating NCOC’s recent directions.
@hamzashafqaat @aneelsaeed @wajahat178 @noorwahabkk @ABCD12302258381 @Meenay97 https://t.co/ewf9VDg5oD"
1431966039659663360,,Sun Aug 29 13:04:43 +0000 2021,UAE to resume visas for tourists vaccinated against Covid-19 https://t.co/oG6ieCetTX
1431966039198388232,,Sun Aug 29 13:04:43 +0000 2021,NCOC expands COVID-19 restrictions to 27 cities https://t.co/KZEADZ5W1S
1431965106838048768,,Sun Aug 29 13:01:00 +0000 2021,"@ICT_PEIRA @Shafqat_Mahmood @WajihaQmr @EduMinistryPK Dar e Arqam G9 is taking daily classes from 8:00 to 1:30 of play group and nursery from last week. The daily classes of elder grades are already conducting on daily basis. Moreover, 5.5 hours daily for play group and nursery is too much, especially in covid situation. @rmwaq"
1431964496260644869,,Sun Aug 29 12:58:35 +0000 2021,@dcislamabad Please have a look at implementation of COVID-19 SOPs at NTS today. https://t.co/oshyC7AT2h
1431963934643400709,GenderDimension,Sun Aug 29 12:56:21 +0000 2021,"@Abidsuleri @vaqarahmed @shafmunir @kzahrahaq @AdesewaJosh @unwomen_pak @UNDP_Pakistan @asmashirazi @omar_quraishi Join us at 01:00 PM on Monday for live discussion with Dr. @shafmunir,  Ms. @AdesewaJosh, Ms. @shamimjourno, Ms. @AishaFSarwari, Ms. @kzahrahaq  on 'Addressing the #GenderDimension of COVID-19'
For watch: https://t.co/A08f2SUaYv https://t.co/YOYsKERBte"
1431956569470681089,ChemicalSprayOnDoctors,Sun Aug 29 12:27:05 +0000 2021,Buycot covid vaccination for 10days and get rid of NLE . GUARANTEE #ChemicalSprayOnDoctors
1431955882762555392,,Sun Aug 29 12:24:21 +0000 2021,@DWMOfficial @ammaralijan Buycot COVID Vaccination for 10days and I guarantee your all issues will solve.  Pressurize yda and pda for this.
1431952297693569024,,Sun Aug 29 12:10:06 +0000 2021,Y’all wonder how this guy would have survived covid don’t ya https://t.co/XmY70zKkZC
