ID,Tags,Created At,Text
1400240731302760448,,Wed Jun 02 23:59:40 +0000 2021,Guyz Pray for my taya abbu He is in covid ICU neeed prayers.
1400239990072918016,,Wed Jun 02 23:56:43 +0000 2021,"Covid has come out stronger this year, lagta hai vo bhi break up ke baad gym gaya tha..."
1400236001734266886,Corona Sindh,Wed Jun 02 23:40:52 +0000 2021,"Sindh leading all the way in battle against #Corona virus... After Universities, Schools and Industrial Units, #Sindh Govt has started vaccination at #ShoppingMalls as mass vaccination campaign in province continues.
This is great initiative, other provinces should follow #Sindh. https://t.co/8Shd0ej8av"
1400225619384754178,,Wed Jun 02 22:59:37 +0000 2021,"My father, tested Covid-19 positive are now fully recovered, Alhamdulillah. He was vaccinated &amp; the reason that despite his age 73, experienced just mild symptoms and nothing more. This is what we were expecting from vaccination. Thanks @OfficialNcoc , @ImranKhanPTI @Asad_Umar"
1400219390931615746,Vietnam Covid19,Wed Jun 02 22:34:52 +0000 2021,#Vietnam discovers new #Covid19 variant which spreads quickly by air https://t.co/6tyjnnuB4B
1400216671818821634,Covid9,Wed Jun 02 22:24:03 +0000 2021,"With the grace of  Almighty Allah i have been tested #Covid9 NEGATIVE ...Thank u everyone for your prayers &amp; Support
Please get your Self Registered for Covid Vaccination🙏#VaccineRegistration"
1400215837257109505,Covid9,Wed Jun 02 22:20:45 +0000 2021,"With the grace of  Almighty Allah i have been tested #Covid9 NEGATIVE ...Thank u everyone for your prayers &amp; Support
Please get your Self Registered for Covid Vaccination🙏#VaccineRegistration"
1400212028522786816,,Wed Jun 02 22:05:36 +0000 2021,"KP reports 326 fresh COVID-19 cases, 18 deaths https://t.co/yhBa8RVkWo https://t.co/kXCmMsxMm6"
1400210158328946689,,Wed Jun 02 21:58:11 +0000 2021,"Lockdown is not new but Instead of protesting against (MQM) K Electric's worst load shedding and water cut, they are urging the business community to protest against the lockdown and keep shops open.  It's just a distraction from load shedding and saving K Electric. https://t.co/ALScPCsOgY"
1400209208826544128,,Wed Jun 02 21:54:24 +0000 2021,Ulema resolve unanimously to encourage people to get vaccinated against Covid-19. An eight point resolution. I am thankful to Allah for keeping us safe. Also I must recognise very effective government policies and good propagation of SOPs by ulema &amp; the media. Well done Pakistan. https://t.co/vitpVWFEYU
