ID,Tags,Created At,Text
1422342210280951814,,Mon Aug 02 23:43:03 +0000 2021,@SyedaDurood_ This is even worse then covid
1422341878020812803,,Mon Aug 02 23:41:44 +0000 2021,Lockdown Not Affordable for Pakistan https://t.co/E4fiWtRC8Z
1422338355228983296,COVID19,Mon Aug 02 23:27:44 +0000 2021,@murtazawahab1 Urgent call 4 vaccination caused crowding at vaccination centers Ppl didnt even wear masks properly Dis can b counter-productive Plz end d lockdown  2 ease economic woes of d poor &amp; ask NADRA /1166 to schedule vaccination to prevent crowding/ spread of #COVID19 @BBhuttoZardari
1422336826023452678,,Mon Aug 02 23:21:39 +0000 2021,"Lockdown not affordable, United Business Group leaders appeal to Chief Minister Sindh https://t.co/EullFQoh17"
1422324679109451781,,Mon Aug 02 22:33:23 +0000 2021,"Times of India: US: Republican panel indicts China for virus leak.
https://t.co/7sb91Cudzz"
1422324597408608260,,Mon Aug 02 22:33:04 +0000 2021,@huma_me It's symptoms of delta Covid
1422317546506698758,,Mon Aug 02 22:05:03 +0000 2021,Then how did they developed covid vaccines within 2 years 😶 https://t.co/mreV97FbRF
1422314379358375937,Lahore Rawalpindi Faisalabad Multan Covid19,Mon Aug 02 21:52:28 +0000 2021,"Lockdown imposed by Govt of Punjab in terrestrial limits of #Lahore, #Rawalpindi, #Faisalabad and #Multan starting from 3rd August 2021 till 31st August 2021. #Covid19 https://t.co/CpCNibFpEK"
1422313326898450432,followforfollow,Mon Aug 02 21:48:17 +0000 2021,Baton Rouge's largest hospital has reportedly run out of hospital beds due to COVID-19 spike in Louisiana https://t.co/yc2A29PpnM #followforfollow
1422313323144548357,followforfollow,Mon Aug 02 21:48:16 +0000 2021,Sen. Lindsey Graham may have exposed multiple senators to COVID-19 on Joe Manchin's DC houseboat https://t.co/tYRsikmHC2 #followforfollow
1422309732459630607,,Mon Aug 02 21:34:00 +0000 2021,"@the_desi_dream Everything is closed but it isn't complete lockdown here, still a lot of ppl outdoors and it just doesn't make sense to me. Incompetence of Sindh govt that we have been suffering for yrs"
1422309572258246660,AajKamranKhan DunyaNews lockdownkarachi,Mon Aug 02 21:33:21 +0000 2021,"Spokesperson Sindh Govt Barrister @murtazawahab1   is participating in #AajKamranKhan show on #DunyaNews regarding Covid situation, Vaccination drive in #lockdownkarachi 

Part-II https://t.co/HLNtRiWl4V"
1422307810197614597,AajKamranKhan DunyaNews lockdownkarachi,Mon Aug 02 21:26:21 +0000 2021,"Spokesperson Sindh Govt Barrister @murtazawahab1   is participating in #AajKamranKhan show on #DunyaNews regarding Covid situation, Vaccination drive in #lockdownkarachi https://t.co/aoL5rF51yd"
1422304473716756480,,Mon Aug 02 21:13:06 +0000 2021,@SyedNasirHShah So then there is no need to implement lockdown
1422299412173402114,BarackObama,Mon Aug 02 20:52:59 +0000 2021,"#BarackObama Is Throwing a COVID-Safe 60th Birthday Party, Asking for Charity Donations in Lieu of Gifts https://t.co/saoJIbRvLv"
1422298723405729796,,Mon Aug 02 20:50:15 +0000 2021,SHOS GIVEN POWER TO TAKE ACTION AGAINST COVID SOPS VIOLATORS https://t.co/1RKG9CeM1U
1422298711997231104,,Mon Aug 02 20:50:12 +0000 2021,"SHOS GIVEN POWER TO TAKE ACTION AGAINST COVID SOPS VIOLATORS
https://t.co/p9LSO5WJvW https://t.co/D8BzydZHlP"
1422298669051691015,,Mon Aug 02 20:50:02 +0000 2021,People without CNICs can now get COVID-19 jabs in Karachi https://t.co/bb8VKFyxg6
1422298226967855106,Karachi Sindh COVID,Mon Aug 02 20:48:16 +0000 2021,"PTI #Karachi chief and MPA @KhurumSherZaman has asked PM Imran Khan to impose governor rule in #Sindh, citing anti-economy and anti-business measures from the provincial govt in the guise of #COVID SOPs.

Read: https://t.co/2cDGyL5PNX"
1422297316694888453,Covid_19 CovidVaccine vaccine,Mon Aug 02 20:44:39 +0000 2021,"you’re going to believe in her but not the vaccine?
#Covid_19 #CovidVaccine
#vaccine"
1422296396661723143,,Mon Aug 02 20:41:00 +0000 2021,SHOS GIVEN POWER TO TAKE ACTION AGAINST COVID SOPS VIOLATORS https://t.co/zLrC3sAOH8
1422296284623409158,Covid,Mon Aug 02 20:40:33 +0000 2021,"A friend in Karachi needs an oxygen cylinder for his mother urgently, can anyone help?

#Covid"
1422295753876287489,,Mon Aug 02 20:38:27 +0000 2021,@i_mAfridi Hahhhah!lockdown
1422294811286065153,Karachi COVID,Mon Aug 02 20:34:42 +0000 2021,"The #Karachi City Court has ordered the police earlier today, to not lodge further FIRs against the people, who found violating #COVID SOPs, rather a written complaint should only be filed.

Read: https://t.co/oqAEzbH7BV"
1422292774003650566,PPP karachirain,Mon Aug 02 20:26:36 +0000 2021,#PPP GOVT wants to kill people of #karachirain through lockdown
1422292718655610885,PPP karachirain,Mon Aug 02 20:26:23 +0000 2021,@hansbadvi #PPP GOVT wants to kill people of #karachirain through lockdown
1422291303346446336,,Mon Aug 02 20:20:46 +0000 2021,Governor Sindh Imran Ismail disapproves of curfew-like lockdown in Sindh. https://t.co/bVqAjWPIUn
1422290666353274880,followforfollow,Mon Aug 02 20:18:14 +0000 2021,Louisiana has a higher rate of COVID-19 infections than any country in the world https://t.co/dfM0521RvU #followforfollow
1422289757665693703,,Mon Aug 02 20:14:37 +0000 2021,@GuruKithayHay @MaryamNSharif Calibri Covid-2018 😁😁😃😆😅🤣😅😉🙃🙃🙃😁😆
1422289165505507328,followforfollow,Mon Aug 02 20:12:16 +0000 2021,Louisiana governor reissues statewide mask mandate as state leads the country in new COVID-19 cases https://t.co/8P9yx4qwyS #followforfollow
1422288926623084552,,Mon Aug 02 20:11:19 +0000 2021,Governor Sindh Imran Ismail disapproves of curfew-like lockdown in Sindh. https://t.co/NJfBJDmN42
1422288512439799808,,Mon Aug 02 20:09:40 +0000 2021,Specifically Those who are posting that Lockdown will be over by GOS because from 9Aug is Muharram . If this is true than why Federal Govt imposed Lockdown Again ? https://t.co/D07U4sk3AS
1422283422215643140,Covid_19,Mon Aug 02 19:49:27 +0000 2021,"“It doesn’t get easier. You just get stronger”
Finally start recovering from #Covid_19 seriously the last 10 days are the hardest days ever, the body pain, the strong headache, the worst disability of senses (smell n taste) and at last the weakness. Still need prayers guys."
1422283088768425990,URGENT Rawalpindi Islamabad spreadtheword MadadFoundation,Mon Aug 02 19:48:07 +0000 2021,"RT @BDonorsPakistan: RT #URGENT a ventilator required in #Rawalpindi or #Islamabad for a female COVID patient. Please #spreadtheword and help them out.
Courtesy @msba55945204 Copied from @BDonorsPakistan #MadadFoundation"
1422282303754092547,vaccinated,Mon Aug 02 19:45:00 +0000 2021,#vaccinated Against covid 19
1422281826123530241,,Mon Aug 02 19:43:06 +0000 2021,Sindh is loosing valuable time all because of Federal Goberment of PTI and a minority party belonging to Karachi.  Covid is real and it's present situation too.  Grow up.
1422281740719214593,Promote9th_and11th_class Promote9th_and11th_class CancelExamsSaveStudents cancelboardexam2021 Promote9th_and11th_class,Mon Aug 02 19:42:46 +0000 2021,"Children and people under 18 who can't be vaccinated are at most risk. How can u conduct exams amid 4th wave of covid. #Promote9th_and11th_class #Promote9th_and11th_class
#CancelExamsSaveStudents #cancelboardexam2021 #Promote9th_and11th_class https://t.co/oZd3lXCtkj"
1422280427457454084,,Mon Aug 02 19:37:33 +0000 2021,@CathayPak It shud not b politized I haven't seen an Official Chinese response 2 Senator Paul grilling Dr Fauci y U.S funded a  research on the virus ? World shud know if both states were collaborating &amp; whether an accidental lab leak took place either at Fort Detrick or Wuhan Lab @WHO
1422280423867047938,,Mon Aug 02 19:37:32 +0000 2021,"@_vanillawallah No one is blaming IPL for covid lmao but we can't overlook their callousness + inhumanity and we can't keep undermining the roles of national boards by pointing all our fingers at ICC. There's a lot of ugliness in cricket and the IPL and the ""big 3"" are biggg parts of it"
1422278428359860233,,Mon Aug 02 19:29:36 +0000 2021,@_vanillawallah I don't blame them for getting affected by covid... https://t.co/Jk1vLzAPhj
1422278246025109507,,Mon Aug 02 19:28:53 +0000 2021,"@biya996 For me, that loved one is my baray bhai to whom i lost to covid. 💔😭"
1422277962762792966,DuniaNews Covid_19 CoronaUpdate Sindh,Mon Aug 02 19:27:45 +0000 2021,"Spokes Person Sindh Govt 
Barrister @murtazawahab1 Participating in Current Affairs Show @AajKamranKhan at #DuniaNews 
on Current #Covid_19 Vaccination drive by Sindh Govt and overall #CoronaUpdate &amp; Situations in #Sindh https://t.co/pnoRAc9Dv7"
1422277850636460037,followforfollow,Mon Aug 02 19:27:18 +0000 2021,"Sen. Lindsey Graham tests positive for COVID-19, says he's experiencing 'mild symptoms' https://t.co/iIN49efKKx #followforfollow"
1422277480564527114,,Mon Aug 02 19:25:50 +0000 2021,"One of my friend's mother is covid positive and he is having a bbq party rn, lol"
1422276101473189893,UshnaShah,Mon Aug 02 19:20:21 +0000 2021,"Ushna Shah tests positive for COVID-19 - 
#UshnaShah
https://t.co/wYnIhYDJu4 - https://t.co/cYzc9ENqSd"
1422274842754158593,AajKamranKhan DunyaNews lockdownkarachi,Mon Aug 02 19:15:21 +0000 2021,"Spokesperson Sindh Govt Barrister @murtazawahab1    is participating in #AajKamranKhan show on #DunyaNews regarding Covid situation, Vaccination drive in #lockdownkarachi 

Part-II https://t.co/mzGodIQNlu"
1422274727138181122,AajKamranKhan DunyaNews lockdownkarachi,Mon Aug 02 19:14:54 +0000 2021,"Spokesperson Sindh Govt Barrister @murtazawahab1 is participating in #AajKamranKhan show on #DunyaNews regarding Covid situation, Vaccination drive in #lockdownkarachi https://t.co/HOWFFlx9DG"
1422273809755824133,,Mon Aug 02 19:11:15 +0000 2021,Can hear music and fireworks and pretty sure a wedding is taking place in the neighbourhood in the middle of a lockdown 🤦🏻‍♀️
1422273751304003587,asifmalikriaz LockdowninSind zafarabbas zafarabbasjdc jdc jdcfoundation lockdown lockdowininkarachi PPP PTIGovernment Lockdowninsind NCOC Lockdowninpakistan povertychallenge,Mon Aug 02 19:11:01 +0000 2021,"@ZafarJdc sharing his views with #asifmalikriaz on #LockdowninSind 

Complete Program:
Youtube: starnewspakistan (30 July)

#zafarabbas #zafarabbasjdc #jdc #jdcfoundation #lockdown #lockdowininkarachi #PPP #PTIGovernment #Lockdowninsind #NCOC #Lockdowninpakistan #povertychallenge https://t.co/tJaCw5iuaq"
