ID,Tags,Created At,Text
1405674849117351938,,Thu Jun 17 23:52:54 +0000 2021,@nadia8398 @Rafi_AAA Chintaa rehni chahiey especially in the wake of COVID ;)
1405671187481391106,,Thu Jun 17 23:38:21 +0000 2021,"@FloNashton @CapaldiDoc They didn't say he won't film it, Robert was struck down with COVID due to which filming was paused. They said he had stopped filming which he did but resumed it later. Which he did and due to which the scene was filmed. The Sun itself reported that.

https://t.co/WjqxuZgg4T https://t.co/psaqWvir0m"
1405652609462112263,,Thu Jun 17 22:24:32 +0000 2021,"If border closure is not helping in controlling covid then whats the point in keeping them shut? You should change your strategy and should open borders, to allow vaccinated visa holders to enter Australia. @ScottMorrisonMP #LetUsBackToAus #InternationalStudentsAustralia"
1405650249100804108,,Thu Jun 17 22:15:09 +0000 2021,Deltavariant of covid-19 @fslsltn @dryasmeenrashid https://t.co/TXWDyeqm4K
1405649694462709760,India Covid,Thu Jun 17 22:12:57 +0000 2021,"Praying for #India as the country battles the worst #Covid-19 surge the world has witnessed. Let's all - irrespective of the place we live in - strictly follow the SOPs to avoid further burdening our healthcare systems.

#HumanityFirst  #PakistanstandswithIndia #indianeedoxygen"
1405647551408357379,PSL6 HBLPSL6,Thu Jun 17 22:04:26 +0000 2021,"Karachi Kriminals win. 

This is worse than Covid 😂🤣

#PSL6
#HBLPSL6"
1405646306459238400,,Thu Jun 17 21:59:29 +0000 2021,I will come to COVID-19 I love this place https://t.co/mQsQfJiDIB
1405645300166017026,,Thu Jun 17 21:55:29 +0000 2021,"punjab board hasn't announced date sheet officially . Balochistan taking exams from 22 june. shortage of vaccines .fear of covid's 4th wave .shafqat uncle busy in"" JIHAD_E _NATIONAL ASSEMBLY. are u comedy me .
@SammerAbbas 
#cancelboardexams2021
@FarooqTariq3
meanwhile students https://t.co/EJEFu0YdbO"
1405644353259905032,,Thu Jun 17 21:51:44 +0000 2021,"This tweet got a lot of attention and while I haven’t been able to read all the replies, I want to say something about my dad. We lost him last week after he caught COVID and was hospitalised. He fought very bravely &amp; even the doctors were amazed by his strength. Just when we https://t.co/cZ8qTB2RGJ"
1405633472820035590,,Thu Jun 17 21:08:29 +0000 2021,@marium_1234 @DrMuradPTI Last year only hmary 10 ky papers hwy thy or hm prepared thy is year hmari tiyari bhi NHi hai yei bhi janty hein so kindly promoted matrix and intermediate or hmary session jaldi start krwa dein last year ki trha NHi wrna Bht issues hein hmary liye. Or covid bhi hai .
1405632473376165891,,Thu Jun 17 21:04:31 +0000 2021,"@ZaidZamanHamid Sir there should be a campaign against forcibly covid vaccination...because all bank and many companies issue notification to staff for vaccination otherwise job termination..including bank al habib, cp five star fast food restaurant and many more.."
1405630197811101696,,Thu Jun 17 20:55:29 +0000 2021,"This tweet got a lot of attention and while I haven’t been able to read all the replies, I want to say something about my dad. We lost him last week after he caught COVID and was hospitalised. He fought very bravely &amp; even the doctors were amazed by his strength. Just when we https://t.co/cZ8qTB2RGJ"
1405623222763241474,,Thu Jun 17 20:27:46 +0000 2021,Covid cancelling everything except my feelings for you 👉🏻👈🏻
1405611601483517954,NewsUpdate FoxNews,Thu Jun 17 19:41:35 +0000 2021,"#NewsUpdate ""At least 1 dead in COVID outbreak at U.S. embassy in Kabul, Afghanistan"" via #FoxNews https://t.co/DW5j5vXl1C https://t.co/iauFQHaznm"
1405606652884172800,,Thu Jun 17 19:21:55 +0000 2021,"1/ The deadly COVID surge'21 makes a regionally-coordinated, evidence-driven strategy critical. Today we write a hopeful story about a South Asian consortium we are involved in

Simultaneous Op-ed with @mushfiq_econ @Satchit_Balsari in 5 national dailies 

https://t.co/LNMuFRWYYh"
1405605363404136451,,Thu Jun 17 19:16:48 +0000 2021,The private hospitals are fleecing people suffering from Covid 19. These exorbitant charges are not only ethically wrong but also a violation of apex court’s decision of lowering charges. Will ⁦⁦⁦@PHC_Punjab⁩ look into this ?  https://t.co/WZGLMXyGm2
1405602539052089358,Covid_19,Thu Jun 17 19:05:34 +0000 2021,Here’s a video of me getting my first dose of covid-19 vaccine. #Covid_19 https://t.co/jH0E7ZKp8n
1405602238031073287,,Thu Jun 17 19:04:23 +0000 2021,"This tweet got a lot of attention and while I haven’t been able to read all the replies, I want to say something about my dad. We lost him last week after he caught COVID and was hospitalised. He fought very bravely &amp; even the doctors were amazed by his strength. Just when we https://t.co/cZ8qTB2RGJ"
1405600988967456769,StaySave,Thu Jun 17 18:59:25 +0000 2021,"Alhumdalliah Take First Vaccine Doze of Covid-19 
#StaySave https://t.co/lz38hoUOQo"
1405600337050939396,Covid_19,Thu Jun 17 18:56:49 +0000 2021,Today I decided to go for a drive-thru covid-19 vaccination and Alhumdulilah everything went smoothly. #Covid_19 https://t.co/QgUnKfyVhp
1405599133826752514,,Thu Jun 17 18:52:02 +0000 2021,"Grandson: how was life in covid 19?
Me: sit down kid I have a story to tell you https://t.co/keaIrDDWM5"
1405589355951915010,اقلیتی_تاریخی_بجٹ_پنجاب,Thu Jun 17 18:13:11 +0000 2021,"#اقلیتی_تاریخی_بجٹ_پنجاب
The government has kept over Rs50 billion to combat the pandemic including around Rs10 billion that is being blocked for Covid specific interventions and emergent needs."
1405587001831833602,,Thu Jun 17 18:03:50 +0000 2021,"have you taken the Covid-19 vaccine? if no, then why?"
1405579628677324810,,Thu Jun 17 17:34:32 +0000 2021,"*Retweet to help

- Seeking job for a friend who is in dire need of it.

One of my friends from the University recently lost his job due to Covid-19. He is a Mechanical Engineer from the same batch as mine. 
As I know him, the guy is talented,  able, and hard-working."
1405577274074746887,,Thu Jun 17 17:25:11 +0000 2021,"have you taken the Covid-19 vaccine? if no, then why?"
1405575874150223877,اقلیتی_تاریخی_بجٹ_پنجاب,Thu Jun 17 17:19:37 +0000 2021,"#اقلیتی_تاریخی_بجٹ_پنجاب
It has also decided to continue the provincial tax relief of above Rs50bn announced in the budget for the current year to help businesses and consumers affected by the Covid-19 pandemic.
@FaisalKhokhar76"
1405575643782205440,اقلیتی_تاریخی_بجٹ_پنجاب,Thu Jun 17 17:18:42 +0000 2021,"#اقلیتی_تاریخی_بجٹ_پنجاب
It has also decided to continue the provincial tax relief of above Rs50bn announced in the budget for the current year to help businesses and consumers affected by the Covid-19 pandemic.
@FaisalKhokhar76"
1405574508224913411,اقلیتی_تاریخی_بجٹ_پنجاب,Thu Jun 17 17:14:11 +0000 2021,"#اقلیتی_تاریخی_بجٹ_پنجاب
The government has kept over Rs50 billion to combat the pandemic including around Rs10 billion that is being blocked for Covid specific interventions and emergent needs."
