ID,Tags,Created At,Text
1396947531175706626,,Mon May 24 21:53:40 +0000 2021,@proronen @missmadam18 @ashoswai You destroyed the only covid-19 testing facility and the whole hospital and talking about economic prosperity and health issues. Dual standards
1396909664600825857,,Mon May 24 19:23:12 +0000 2021,Ambassador Nong Rong reassured that China will continue to firmly support Pakistan in its fight against the COVID-19 pandemic and accords high priority to help address Pakistan’s requirements.
1396909427727470602,,Mon May 24 19:22:15 +0000 2021,Ambassador Nong Rong reassured that China will continue to firmly support Pakistan in its fight against the COVID-19 pandemic and accords high priority to help address Pakistan’s requirements.
1396909223557091330,,Mon May 24 19:21:26 +0000 2021,Ambassador Nong Rong reassured that China will continue to firmly support Pakistan in its fight against the COVID-19 pandemic and accords high priority to help address Pakistan’s requirements.
1396908416593969160,,Mon May 24 19:18:14 +0000 2021,Ambassador Nong Rong reassured that China will continue to firmly support Pakistan in its fight against the COVID-19 pandemic and accords high priority to help address Pakistan’s requirements.
1396901346897371138,,Mon May 24 18:50:08 +0000 2021,@wholly_sinner Covid 21 carrier for tomatoes 😃 https://t.co/QTEyXfeI4J
1396895625229344770,Tourism MesmerisingKhyberPakhtunkhwa NCOC,Mon May 24 18:27:24 +0000 2021,"#Tourism formally opens in #MesmerisingKhyberPakhtunkhwa from today

Revised SOPs in light of #NCOC guidelines issued
Bookings made provisional to either Covid negative test result or vaccination certification

Intending #Tourists to pl note

@dostacykp 
@kptourism 
@infokpgovt https://t.co/gvTEgRQ7Jh"
1396891537716432896,,Mon May 24 18:11:10 +0000 2021,LAST YEAR EVERYONE WAS PREPARED FOR EXAMS @Shafqat_Mahmood CANCELLED IT THIS YEAR WE ATTENDED OUR COLLEGE ONLY 50 DAYS JISMA BAR BAR LOCKDOWN K WEEKS ATY THY STUDY KA FLOW KHARAB HOTA THA STILL THEY WANT US TO SIT IN HALL N GIVE PAPERS  #CancelAllBoardExams #NCOCcancelexams
1396890220063346694,,Mon May 24 18:05:56 +0000 2021,"‘China turned Covid-19 into biological weapon, committed mass murder’ https://t.co/2ZASGhp1OU"
1396876910186176514,,Mon May 24 17:13:02 +0000 2021,Smart lockdown imposed in District Central – Karachi https://t.co/JfhkI8mmY1
1396873248294543361,,Mon May 24 16:58:29 +0000 2021,"COVID-19 claims 57 lives, infects 3,060 more people https://t.co/ret6SrdhMG"
