ID,Tags,Created At,Text
1441073684966424581,Peshawar PTI,Thu Sep 23 16:15:15 +0000 2021,"500 students will get scholarships under Ehsaas Programme at Khyber Medical University #Peshawar tomorrow, Taimur @Jhagra will distribute cheques among students and also inaugurate first Sequencing Lab, meant for detecting existing and/or any new variant in Covid. 

#PTI"
1441072799917953040,LeadersInIslamabad LeadersInISB,Thu Sep 23 16:11:43 +0000 2021,"Professor Daniel Markey sharing insights about covid vaccines availability in and howthe govt is maximising it and dealing with current climate change.
#LeadersInIslamabad
#LeadersInISB https://t.co/0lD24zR4Dd"
1441049209566863360,,Thu Sep 23 14:37:59 +0000 2021,COVID-19: EU adds three countries on Non-essential travel list https://t.co/bOTldbhM0L
1441004675243941888,,Thu Sep 23 11:41:01 +0000 2021,Sri Lanka shaman dies of COVID-19 after touting ‘blessed’ water cure https://t.co/RMeBNoYVUv
1441001057543495682,,Thu Sep 23 11:26:39 +0000 2021,First Lady Samina Alvi tests positive for Covid-19 https://t.co/RAi3z8cCX0
1440976941394403328,,Thu Sep 23 09:50:49 +0000 2021,Spike in COVID-19 cases in Syria as fears grow of new wave https://t.co/NFqjne1Xgi
1440973722190585860,,Thu Sep 23 09:38:02 +0000 2021,@trtworld hes the virus agent smith was talking about in the matrix https://t.co/gBXvbm92fS
1440969472895070209,,Thu Sep 23 09:21:08 +0000 2021,@JithinT21 @luigi_brother_ @being_ingenious @vase556 @ICC btw are you immune from covid?
1440962925527719937,HBDShehbazSharif CountryWideProtestAgainstPMC,Thu Sep 23 08:55:07 +0000 2021,"Some time it's IMF nd some time it's covid responsible for for inflation in bumper production of different items where many basic foods items r imported in four time seasonal agriculture country...
@ImranKhanPTI
#HBDShehbazSharif
#CountryWideProtestAgainstPMC https://t.co/qtotzo5Aoy"
1440950272033972224,,Thu Sep 23 08:04:51 +0000 2021,Primary school pupils and those in the most deprived areas suffered the greatest loss amid COVID-19 https://t.co/NSQ690csqK
1440873064334512129,,Thu Sep 23 02:58:03 +0000 2021,"@DennisCricket_ Yar Dennis Lala it was due to Covid restrictions, don't consider it a threat please 😝"
