ID,Tags,Created At,Text
1391177430694518785,,Sat May 08 23:45:20 +0000 2021,"Many a few people have donated funds for charity to help people to cope with the financial damages due to COVID-19 restrictions.They don’t wish to be mentioned.If anyone of you is interested to contribute kindly contact.The ration is delivered on doorsteps.
#Charity_in_Ramadan https://t.co/GqQUnbmltU"
1391171495301353472,,Sat May 08 23:21:45 +0000 2021,"District admn &amp; health professionals requested @DcQuetta to volunteer himself for COVID-19 vaccine in order to discard the illogical myths associated with it &amp; encourage people to avail this opportunity.
#vaccinatedbalochistan 
@OfficialNcoc  @jam_kamal @LiaquatShahwani https://t.co/j127RSsF1e"
1391170809725652992,,Sat May 08 23:19:02 +0000 2021,"Many a few people have donated funds for charity to help people to cope with the financial damages due to COVID-19 restrictions.They don’t wish to be mentioned.If anyone of you is interested to contribute kindly contact.The ration is delivered on doorsteps.
#Charity_in_Ramadan https://t.co/GqQUnbmltU"
1391165016313892866,,Sat May 08 22:56:01 +0000 2021,COVID – 19 undoubtedly a collective &amp; biggest challenge https://t.co/jrHLqJStzg
1391164634078588933,,Sat May 08 22:54:30 +0000 2021,"@rehan_babai @DcQuetta Dear brother, Hazrat Ali (AS) is for all Muslims.Its not property of anyone,Anyone can attend procession too.Hazrat Ali (AS) martyrdom is for Islam &amp; Muslims.We must not divide on this day.

Loss of property,shops in lockdown is for everyone.We must unite forming our demands. Tc"
1391157821958463493,,Sat May 08 22:27:25 +0000 2021,"When there is no way of making a life. The state is responsible of killing them and promoting crime. 
If anyone asks for full lockdown then their salaries must be stopped until the lockdown gets off. https://t.co/0SauARCHtZ"
1391157171094790146,,Sat May 08 22:24:50 +0000 2021,"Many a few people have donated funds for charity to help people to cope with the financial damages due to COVID-19 restrictions.They don’t wish to be mentioned.If anyone of you is interested to contribute kindly contact.The ration is delivered on doorsteps.
#Charity_in_Ramadan https://t.co/GqQUnbmltU"
1391151224926388230,,Sat May 08 22:01:13 +0000 2021,"Many a few people have donated funds for charity to help people to cope with the financial damages due to COVID-19 restrictions.They don’t wish to be mentioned.If anyone of you is interested to contribute kindly contact.The ration is delivered on doorsteps.
#Charity_in_Ramadan https://t.co/GqQUnbmltU"
1391151005342093313,Charity_in_Ramadan,Sat May 08 22:00:20 +0000 2021,"Many a few people have donated funds for charity to help people to cope with the financial damages due to COVID-19 restrictions.They don’t wish to be mentioned.If anyone of you is interested to contribute kindly contact.The ration is delivered on doorsteps.
#Charity_in_Ramadan https://t.co/GqQUnbmltU"
1391148610469961731,,Sat May 08 21:50:49 +0000 2021,"Corona vaccines aren’t fatal instead they are life saving injection which can protect us against the deadly Corona virus.Let’s discard the myths &amp; get ourselves &amp; our loved ones vaccinated. 
@DcQuetta https://t.co/b7r61FQTY2"
1391148432853716995,pakistanstandwithindia,Sat May 08 21:50:07 +0000 2021,"Both states are on the verge of failure while confronting the contagion to evacuate the succumbing ones.The foremost priority in our state lays down on imposing of restrictions and lockdown rather than to curb the surge through vaccination and ventilators.
#pakistanstandwithindia"
1391148104620052480,vaccinatedbalochistan,Sat May 08 21:48:49 +0000 2021,"District admn &amp; health professionals requested @DcQuetta to volunteer himself for COVID-19 vaccine in order to discard the illogical myths associated with it &amp; encourage people to avail this opportunity.
#vaccinatedbalochistan 
@OfficialNcoc  @jam_kamal @LiaquatShahwani https://t.co/j127RSsF1e"
1391145717088100358,,Sat May 08 21:39:19 +0000 2021,"Corona vaccines aren’t fatal instead they are life saving injection which can protect us against the deadly Corona virus.Let’s discard the myths &amp; get ourselves &amp; our loved ones vaccinated. 
@DcQuetta https://t.co/b7r61FQTY2"
1391137227820998658,,Sat May 08 21:05:35 +0000 2021,"@DcQuetta Konsa poilce, kahan ka lockdown. Sara Bazar kula hy, new Quetta mein sari shops open hy, police aur shopkeepers ka hide and seek drama, apki law enforcement kahan hy. Har koi app k orders ko challenge karta hy, weak administration. (No offense) https://t.co/Ra4ZZvmnZ4"
1391134076329938949,,Sat May 08 20:53:04 +0000 2021,Lost an uncle to Corona today. He had taken both shots of COVID-19 vaccine and yet covid won! He was a really close friend of my late father and i have some very fond memories of him. Praying for him and his family who are unable to process this sudden irreparable loss.
1391128099027406853,,Sat May 08 20:29:19 +0000 2021,@Chahal_Shekhar Then stay happy looking at covid situation at your place
1391127377875542023,,Sat May 08 20:26:27 +0000 2021,@DcQuetta The only cure for corona is the implementation of SOP's and Vaccinations which the government is not doing while the easy and destructive way is lockdown and the administration is forcing the public to do lockdown.🤔
1391118575381929991,,Sat May 08 19:51:28 +0000 2021,"Business community rejected lockdown decision, all the markets were opened https://t.co/UxFehWkKzA"
1391117328155353089,,Sat May 08 19:46:31 +0000 2021,"@Asad_Umar @aaliaaaliya Only rich people get the corona Virus, poor people don't care about it"
1391060729151868936,vaccine COVID19,Sat May 08 16:01:37 +0000 2021,Pakistan has received 1.2 million doses of Oxford-AstraZeneca COVID-19 #vaccine delivered by COVAX to support Government’s efforts to vaccinate high-risk people. SAPM on Health Dr. Faisal Sultan appreciated COVAX and GAVI’s contribution to the collective effort to fight #COVID19. https://t.co/HRgUTcQ0y3
1390978620852670464,SaveIndiaFromModi,Sat May 08 10:35:21 +0000 2021,"Modi doesn't care about the plight of Indians amid corona virus 

#SaveIndiaFromModi https://t.co/fU78ccymkP"
1390978413834424321,SaveIndiaFromModi,Sat May 08 10:34:31 +0000 2021,"While the world is helping each other in fighting COVID, a professor of surgery in Kashmir had to waste hours trying to download treatment guidelines from the internet.. 

#SaveIndiaFromModi"
1390977319842496513,SaveIndiaFromModi,Sat May 08 10:30:10 +0000 2021,"#SaveIndiaFromModi

Queue for Oxygen, Queue for Ventilator, Queue for Covid Tests, Queue for Remedisivir, Queue for Cremations, Queue for Vaccination. BJP’s by-election campaigns and queue outside polling stations have costed Indian thousands of Covid  https://t.co/sDOUjtYrUg"
1390977241446748163,SaveIndiaFromModi,Sat May 08 10:29:52 +0000 2021,"#SaveIndiaFromModi

The negligence by the Indian government is resulting in designed murders of common people which are dying of Covid outbreak
 https://t.co/paszTL5UbJ"
1390977233880293376,SaveIndiaFromModi,Sat May 08 10:29:50 +0000 2021,"#SaveIndiaFromModi

The country suspended the use of the shot after studies suggested that the vaccine had limited effectiveness against the more contagious local variant of the virus."
1390976848910299137,SaveIndiaFromModi,Sat May 08 10:28:18 +0000 2021,"#SaveIndiaFromModi

Indian hospitals resorting to social media to plead for supplies. This is the shocking state of India's COVID crisis.
 https://t.co/4JgpYXDxgd"
1390976822716809219,SaveIndiaFromModi,Sat May 08 10:28:12 +0000 2021,"#SaveIndiaFromModi

Current Covid outbreak in India shows that Modi government has no interests in saving lives, it was, is and will be interested in by polls to win more seats
 https://t.co/x8345aP8Pw"
1390976569724837888,SaveIndiaFromModi,Sat May 08 10:27:11 +0000 2021,"#SaveIndiaFromModi
Modi government flooded local tourists in IIOJK to show normalcy to the world, resulting in the outbreak of Covid 19 which is now costing in lives of locals
 https://t.co/SyiP6PsH83"
1390956624882245633,,Sat May 08 09:07:56 +0000 2021,"120 more fatalities occurred, over 4000 persons tested positive in last 24 hours due to COVID-19 https://t.co/Zae4c1asxM"
1390955454969393154,,Sat May 08 09:03:17 +0000 2021,Strict lockdown from today as 25 more succumb to Covid-19 in KP https://t.co/9uIRACOvoL
