ID,Tags,Created At,Text
1415386614143066117,,Wed Jul 14 19:04:00 +0000 2021,"It’s World Mask Week! 
😷 This is how you should wear a medical mask safely during COVID-19 https://t.co/CVvnpZbkwf"
1415384043303079937,,Wed Jul 14 18:53:47 +0000 2021,Public and staff of various stores &amp; outlets are getting vaccine in the camps established at different points on Airport road.District admn is conducting a mass vaccination drive in Qta to prevent the spread of COVID. https://t.co/vmHg4oQIz8
1415372060839358471,,Wed Jul 14 18:06:10 +0000 2021,"Indian version of corona virus is a deadly virus, spreading swiftly in makran &amp; kalat division,please kindly be careful&amp; remain at home during eid,avoid eid melan parties,its uncontroleable when it spread all over Balochistan,we have zero facilities to battle with this virus"
1415294778334273546,baloch Quetta wednesdaythought,Wed Jul 14 12:59:04 +0000 2021,"Pakistan has placed strict restrictions on travellers from 26 countries including baloch to contain the spread of COVID-19 cases in the country 
#baloch #Quetta  #wednesdaythought https://t.co/xoDB58hHew"
1415293679099695106,,Wed Jul 14 12:54:42 +0000 2021,"@SaleemKhanSafi Sheikh hassina wajid, the only vaccine for jamait e islami virus."
1415283409581056001,,Wed Jul 14 12:13:54 +0000 2021,"COVID-19: Sindh decides to close schools, indoor dining again as cases spike https://t.co/KEtHcKiRx3"
1415244340759203845,VaccineAndSOPsSaveLives,Wed Jul 14 09:38:39 +0000 2021,"Govt study looking at the period from 25 May to 7 June showed that 68% of the cases detected in Dhaka, were of the Indian variant. It has now implemented a national lockdown, after concerns about the impact of the variant. #VaccineAndSOPsSaveLives https://t.co/eeLnflKY6o"
1415244126916804612,VaccineAndSOPsSaveLives VaccineAndSOPsSaveLives,Wed Jul 14 09:37:48 +0000 2021,"Approved COVID-19 vaccines provide a high degree of protection against getting seriously ill and dying from the disease, although no vaccine is 100% protective.

#VaccineAndSOPsSaveLives https://t.co/M5zGKFQQwB

#VaccineAndSOPsSaveLives"
1415244048177139712,VaccineAndSOPsSaveLives VaccineAndSOPsSaveLives,Wed Jul 14 09:37:29 +0000 2021,"New variants of the Covid-19 especially Indian variant spreading rapidly, therefore, it is crucial to control the number of transmissions.
#VaccineAndSOPsSaveLives https://t.co/Tc7aZwIine

#VaccineAndSOPsSaveLives"
1415243054148046848,VaccineAndSOPsSaveLives VaccineAndSOPsSaveLives,Wed Jul 14 09:33:32 +0000 2021,"COVID-19 vaccines also help keep you from getting seriously ill even if you do get COVID-19.

#VaccineAndSOPsSaveLives

#VaccineAndSOPsSaveLives"
1415240036472156164,VaccineAndSOPsSaveLives,Wed Jul 14 09:21:33 +0000 2021,"Developing a safe and effective vaccine takes time, but thanks to the significant investment in research and development and global cooperation, scientists have been able to develop a vaccine against COVID-19 in record time

#VaccineAndSOPsSaveLives https://t.co/t0TQa2ucpz"
1415239907984003073,VaccineAndSOPsSaveLives,Wed Jul 14 09:21:02 +0000 2021,"Developing a safe and effective vaccine takes time, but thanks to the significant investment in research and development and global cooperation, scientists have been able to develop a vaccine against COVID-19 in record time

#VaccineAndSOPsSaveLives https://t.co/t0TQa2LNO9"
1415239874261704704,VaccineAndSOPsSaveLives,Wed Jul 14 09:20:54 +0000 2021,"The 95% effectiveness actually means that people with the vaccine have a 95% lower risk of COVID-19 when compared to a control group. 

#VaccineAndSOPsSaveLives"
1415239838601732097,VaccineAndSOPsSaveLives,Wed Jul 14 09:20:46 +0000 2021,"Vaccines for COVID-19 are critical to bringing the pandemic under control when combined with other safety protocols such as regular hand washing with soap under running water, wearing of masks in all public places and physical distancing.

#VaccineAndSOPsSaveLives"
1415239736801775617,VaccineAndSOPsSaveLives,Wed Jul 14 09:20:21 +0000 2021,"COVID-19 vaccination is now offering a way to transition out of this phase of the pandemic. 

#VaccineAndSOPsSaveLives https://t.co/8tAiveqALh"
1415239639493918723,VaccineAndSOPsSaveLives,Wed Jul 14 09:19:58 +0000 2021,"None of the COVID-19 vaccines can make you sick with COVID-19

#VaccineAndSOPsSaveLives"
1415239614214852611,VaccineAndSOPsSaveLives,Wed Jul 14 09:19:52 +0000 2021,"Since the World Health Organization (WHO) declared the COVID-19 outbreak a pandemic back in March 2020, the virus has claimed more than 2.5 million lives globally with upwards of 113 million cases being confirmed by laboratory tests

#VaccineAndSOPsSaveLives"
1415239541506592768,VaccineAndSOPsSaveLives,Wed Jul 14 09:19:35 +0000 2021,"If you get COVID-19, you also risk giving it to loved ones who may get very sick. Getting a COVID-19 vaccine is a safer choice.

#VaccineAndSOPsSaveLives"
1415239518978981889,VaccineAndSOPsSaveLives,Wed Jul 14 09:19:29 +0000 2021,"Some people who get COVID-19 can become severely ill, which could result in hospitalization, and some people have ongoing health problems several weeks or even longer after getting infected. 

#VaccineAndSOPsSaveLives"
1415239494392061952,VaccineAndSOPsSaveLives,Wed Jul 14 09:19:23 +0000 2021,"COVID-19 is still a threat to people who are unvaccinated. 

#VaccineAndSOPsSaveLives"
